"","cod_dept","area","pop"
"296","39","762","476"
"297","24","1572","860"
"298","02","671","141"
"299","27","858","3213"
"300","29","1397","865"
"301","45","466","181"
"302","52","970","47"
"303","68","2238","112063"
"304","25","386","117"
"305","86","1126","732"
"306","16","1634","1066"
"307","45","663","1008"
"308","49","1460","3136"
"309","84","946","39"
"310","10","844","70"
"311","02","762","385"
"312","84","1488","2863"
"313","10","164","56"
"314","52","1727","284"
"315","02","1077","283"
"316","02","519","62"
"317","36","3015","601"
"318","27","1591","679"
"319","32","626","157"
"320","39","415","351"
"321","18","3806","525"
"322","45","1030","3230"
"323","17","600","1044"
"324","54","1522","290"
"325","71","2268","504"
"326","70","687","163"
"327","55","402","25"
"328","77","1783","897"
"329","86","4132","975"
"330","62","1601","537"
"331","2A","9626","198"
"332","14","709","401"
"333","36","2841","297"
"334","22","1936","1227"
"335","79","4747","1669"
"336","33","3385","8276"
"337","44","1072","1508"
"338","55","664","44"
"339","66","2647","111"
"340","08","822","160"
"341","2B","955","104"
"342","65","337","183"
"343","55","692","132"
"344","76","461","1106"
"345","86","1189","128"
"346","57","1760","167"
"347","12","3440","302"
"348","01","1265","1108"
"349","17","1484","598"
"350","68","528","820"
"351","74","1050","492"
"352","65","1779","564"
"353","80","411","101"
"354","70","1445","423"
"355","62","387","230"
"356","22","1683","402"
"357","24","1076","61"
"358","73","1409","556"
"359","65","736","67"
"360","77","961","2067"
"361","14","405","1159"
"362","01","2105","1501"
"363","41","8761","2356"
"364","88","1718","7774"
"365","59","1302","14789"
"366","47","1130","202"
"367","28","989","322"
"368","47","3207","616"
"369","64","188","153"
"370","27","1215","563"
"371","45","687","124"
"372","02","402","227"
"373","54","1084","254"
"374","52","1910","89"
"375","84","1467","1333"
"376","80","299","131"
"377","76","561","424"
"378","54","239","71"
"379","86","3791","2641"
"380","19","8711","2434"
"381","27","690","65"
"382","02","900","149"
"383","34","1690","1065"
"384","31","399","8126"
"385","55","1848","163"
"386","57","618","320"
"387","67","953","837"
"388","40","1963","289"
"389","77","563","2325"
"390","88","1849","1773"
"391","14","604","1329"
"392","88","4576","3454"
"393","57","510","212"
"394","73","460","535"
"395","77","868","1314"
"396","62","311","633"
"397","73","815","745"
"398","89","671","200"
"399","31","180","80"
"400","02","739","314"
"401","42","5510","35308"
"402","37","100","345"
"403","08","1135","99"
"404","68","623","485"
"405","72","574","509"
"406","64","652","1053"
"407","12","1277","3280"
"408","03","2916","407"
"409","76","1073","422"
"410","80","840","525"
"411","32","1009","194"
"412","40","4122","356"
"413","59","313","1145"
"414","17","1498","733"
"415","67","324","275"
"416","28","951","819"
"417","36","3771","591"
"418","38","1417","51"
"419","64","870","185"
"420","95","1229","16441"
"421","22","1721","1341"
"422","45","3303","715"
"423","02","1403","302"
"424","52","283","49"
"425","39","617","48"
"426","36","988","138"
"427","81","417","115"
"428","29","1229","814"
"429","81","1508","202"
"430","87","388","41"
"431","29","1818","3413"
"432","76","1732","3209"
"433","01","1083","309"
"434","2A","12767","546"
"435","59","1954","1490"
"436","26","4770","159"
"437","76","599","435"
"438","12","1385","108"
"439","23","1926","3679"
"440","08","894","124"
"441","38","1831","284"
"442","44","1443","3133"
"443","14","1227","6552"
"444","17","650","375"
"445","14","1024","1558"
"446","51","1094","231"
"447","58","5090","447"
"448","62","2060","504"
"449","68","1241","1270"
"450","85","1249","467"
"451","21","1800","125"
"452","70","967","290"
"453","81","1026","6148"
"454","17","2719","530"
"455","62","1048","406"
"456","63","580","313"
"457","76","879","189"
"458","17","1055","209"
"459","21","3017","1206"
"460","16","1092","866"
"461","27","336","322"
"462","52","299","34"
"463","11","1745","108"
"464","67","510","438"
"465","76","319","935"
"466","70","1358","119"
"467","24","382","2847"
"468","68","521","401"
"469","58","1189","111"
"470","64","1386","1130"
"471","25","2909","1413"
"472","02","1018","113"
"473","52","984","479"
"474","36","1390","395"
"475","03","1950","235"
"476","84","4055","3745"
"477","03","2582","299"
"478","31","2784","11241"
"479","37","2388","316"
"480","01","1269","847"
"481","26","4047","287"
"482","62","521","483"
"483","73","576","426"
"484","88","2069","444"
"485","18","1983","253"
"486","64","169","183"
"487","43","2265","3062"
"488","62","621","710"
"489","35","842","1299"
"490","29","1435","218"
"491","80","1339","1121"
"492","55","2233","338"
"493","19","3817","1053"
"494","34","1678","1943"
"495","01","2438","9277"
"496","16","596","94"
"497","71","1685","344"
"498","77","2169","5555"
"499","83","3734","2526"
"500","50","542","146"
"501","38","2357","5916"
"502","60","613","357"
"503","85","2184","1912"
"504","04","3868","5716"
"505","53","2450","2797"
"506","34","672","1573"
"507","50","1663","525"
"508","39","977","121"
"509","51","1123","251"
"510","23","1452","207"
"511","72","2129","1646"
